"年別","月份","國家名稱","飛機_松山","飛機_桃園","飛機_臺中","飛機_高雄","飛機_其他","輪船_基隆","輪船_臺中","輪船_高雄","輪船_蘇澳","輪船_花蓮","輪船_金門","輪船_馬祖","輪船_其他","小計"
"Years","Months","Countries","Air. SongShan","Air. Taoyuan","Air. Taichung","Air. Kaohsiung","Air. Others","Sea. Keelung","Sea. Taichung","Sea. Kaohsiung","Sea. Suao","Sea. Hualien","Sea. Kinmem","Sea. Matsu","Sea. Others","Subtotals"
"98","2","肯亞(Kenya)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","賴索托(Lesotho)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","馬拉加西(Madagascar)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","模里西斯(Mauritius)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","馬利(Mali)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","馬拉威(Malawi)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","莫三鼻克(Mozambique)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","尼日(Niger)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","盧安達(Rwanda)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","塞內加爾(Senegal)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"98","2","獅子山(Sierra Leone)","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
